,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률
0,(주)BNK금융지주,138930,2011,,,,,,
1,(주)BNK금융지주,138930,2012,,,,,,
2,(주)BNK금융지주,138930,2013,,,,,,
3,(주)BNK금융지주,138930,2014,,,,,,
4,(주)BNK금융지주,138930,2015,,,,,,
5,(주)BNK금융지주,138930,2016,,,,,,
6,(주)BNK금융지주,138930,2017,,,,,,
7,(주)BNK금융지주,138930,2018,,,,,,
8,(주)BNK금융지주,138930,2019,,,,,,
9,(주)BNK금융지주,138930,2020,,,,,,
10,(주)BNK금융지주,138930,2021,,,,,,
11,(주)BNK금융지주,138930,2022,,,,,,
12,(주)DB하이텍,990,2007,,,,-343.0,63.747160563270825,-3.641757512994255
13,(주)DB하이텍,990,2008,17.610741872841146,-400.2229342873524,22.064349780807127,1239.0,-3.8671636308845336,0.22065589328507146
14,(주)DB하이텍,990,2009,246.935783666638,70.95698086796757,44.9709666837998,-445.0,-7.726963271035629,8.239875778952783
15,(주)DB하이텍,990,2010,98.6378891987112,113.77708753911097,-15.909956246123983,-1337.0,-65.47713877851766,-0.22191787403105379
16,(주)DB하이텍,990,2011,101.81202496598122,98.2579375787134,138.4082301345473,-216.0,-14.664211657812587,-1.6133744405837436
17,(주)DB하이텍,990,2012,-3.871560150523649,63.2021545352492,-6.492529477050078,-168.0,-3.7101864983836776,3.1447680766942767
18,(주)DB하이텍,990,2013,64.35252244450743,-38.536449273651606,13.839265214717258,-63.0,13.180321446657217,8.006832953130692
19,(주)DB하이텍,990,2014,236.04698965153403,44.57656003013499,-7.996802902603371,-130.0,27.919126371641823,3.5299554904491166
20,(주)DB하이텍,990,2015,332.4095288233702,426.0893588390628,20.80200166723147,586.0,-84.48304953965766,2.8794643937126576
21,(주)DB하이텍,990,2016,49.15422972965128,-250.8232543495243,24.66742428353848,458.0,-41.47974260058828,0.5714834418612682
22,(주)DB하이텍,990,2017,-10.054306111596,-111.51099565894992,2.891774331154712,604.0,-30.588648782536694,-0.6524177586242175
23,(주)DB하이텍,990,2018,-46.908499339831266,62.39205249482769,-6.29173868954604,789.0,-10.382651985633757,5.743434580446605
24,(주)DB하이텍,990,2019,67.21618318522067,39.21868806175667,27.155063076071038,1094.0,-1.8470608564881132,5.190438175420752
25,(주)DB하이텍,990,2020,62.52266923016017,-218.43572320905366,18.805034167963086,1159.0,-15.309952933049523,1.6675316046888007
26,(주)DB하이텍,990,2021,-99.17051278966251,-251.0708901354097,3.913149140435907,1359.0,-3.70064928643108,2.5308519691877223
27,(주)DB하이텍,990,2022,146.61554105149418,163.93227297251025,52.87411247857728,3703.0,-4.6915692687951704,1.5621562802823519
28,(주)JB금융지주,175330,2014,,,,,,
29,(주)JB금융지주,175330,2015,,,,,,
30,(주)JB금융지주,175330,2016,,,,,,
31,(주)JB금융지주,175330,2017,,,,,,
32,(주)JB금융지주,175330,2018,,,,,,
33,(주)JB금융지주,175330,2019,,,,,,
34,(주)JB금융지주,175330,2020,,,,,,
35,(주)JB금융지주,175330,2021,,,,,,
36,(주)JB금융지주,175330,2022,,,,,,
37,(주)KB금융지주,105560,2009,,,,,,
38,(주)KB금융지주,105560,2010,,,,,,
39,(주)KB금융지주,105560,2011,,,,,,
40,(주)KB금융지주,105560,2012,,,,,,
41,(주)KB금융지주,105560,2013,,,,,,
42,(주)KB금융지주,105560,2014,,,,,,
43,(주)KB금융지주,105560,2015,,,,,,
44,(주)KB금융지주,105560,2016,,,,,,
45,(주)KB금융지주,105560,2017,,,,,,
46,(주)KB금융지주,105560,2018,,,,,,
47,(주)KB금융지주,105560,2019,,,,,,
48,(주)KB금융지주,105560,2020,,,,,,
49,(주)KB금융지주,105560,2021,,,,,,
50,(주)KB금융지주,105560,2022,,,,,,
51,(주)강원랜드,35250,2007,,,,791.0,-9.509580762195142,0.585222187638756
52,(주)강원랜드,35250,2008,-7.695185039596609,-94.80023761528824,-5.180637299510743,452.0,-13.606555765521392,1.9308100057674267
53,(주)강원랜드,35250,2009,-26.318920759194665,-221.3874486582004,-12.118362665890258,503.0,-17.437501547448832,-1.544341174836923
54,(주)강원랜드,35250,2010,-105.9343617396798,-51.51336320979102,-2.8100063283943513,538.0,-20.72482410140699,-0.040630739692140594
55,(주)강원랜드,35250,2011,-64.75453515531248,-38.33681948909211,-6.490920322790024,467.0,-20.738802284253524,-2.4835420075215566
56,(주)강원랜드,35250,2012,-41.82735569555608,-29.11083022700486,-8.440286194895176,857.0,-18.28411632086197,-1.0872264341487252
57,(주)강원랜드,35250,2013,-68.1722163545401,-81.85645002359196,-10.257050718045212,376.0,-10.286668951201818,-2.1484698392826047
58,(주)강원랜드,35250,2014,-208.58967008010882,-254.87941704166414,0.6962575381041365,496.0,-6.835395571001243,-1.0351017295490976
59,(주)강원랜드,35250,2015,-20.6484613439746,-168.2632385854064,-2.159191205530661,1133.0,-7.918012404053133,-0.8579152082808861
60,(주)강원랜드,35250,2016,-41.443152617409744,-37.59025978417161,-3.3802771101897253,1314.0,-10.567478738712953,-0.8833619584447021
61,(주)강원랜드,35250,2017,-48.57969201613639,-113.5805680083809,-7.68673614354155,1185.0,-10.680821258398744,-1.6262981828644598
62,(주)강원랜드,35250,2018,-51.16660752038233,-38.45493512265954,-6.1953646008177286,913.0,-10.01911708607664,0.3122186226509456
63,(주)강원랜드,35250,2019,-66.59834809433048,-457.19377479799647,-3.8395747193650407,757.0,-6.171548253902181,7.0174656674767775
64,(주)강원랜드,35250,2020,193.9436342455556,165.20302012655904,-26.81009099701295,-995.0,-11.73108872484709,-28.230688213715823
65,(주)강원랜드,35250,2021,21.678809234074677,-22.654068913977635,37.04497241433707,-99.0,1.155869116218188,42.27757942768224
66,(주)강원랜드,35250,2022,152.5142899209548,46.87618646737013,85.14311461419668,156.0,-0.9406705288299477,10.308621098643306
67,(주)녹십자,6280,2007,28.960013480271638,-9.675548701768344,70.57357241713534,2709.0,5.81249627075951,0.8690261112694717
68,(주)녹십자,6280,2008,-17.048067151054198,-168.8265730802841,11.214477032694218,2118.0,-0.29021572718166055,2.765179647522432
69,(주)녹십자,6280,2009,25.462976791190002,-1.8471510688201036,25.64825332308584,1627.0,-9.434736142652511,1.8831629840820785
70,(주)녹십자,6280,2010,196.79421675591576,216.14856992634446,45.590491017568496,1814.0,-5.9930170743554925,-6.268530370850328
71,(주)녹십자,6280,2011,-110.68267236449758,-328.53842168369624,-1.707653842717712,2346.0,-3.382067103281564,-1.655291766936708
72,(주)녹십자,6280,2012,-75.16572825780996,3638.5528870960484,19.406581134420577,2688.0,2.2466285032921505,-2.1801697973778555
73,(주)녹십자,6280,2013,248.99295136430513,486.98267607900976,10.117980759788276,3181.0,-8.449221805911293,0.8831907791170464
74,(주)녹십자,6280,2014,-137.97909363812101,-1625.1804921141515,30.666596431048067,3493.0,4.47171568147936,0.6951446723916161
75,(주)녹십자,6280,2015,23.32963108816138,1228.1051928542877,27.90496027521531,3520.0,1.9407445615225,2.9665439241929423
76,(주)녹십자,6280,2016,-1819.4333841439955,182.60309888186083,22.766450432443953,1846.0,2.6560314465585435,1.9283970803599733
77,(주)녹십자,6280,2017,-14.620288703502503,102.80899417734095,24.437746229535215,2612.0,6.485424638063385,2.992312552408401
78,(주)녹십자,6280,2018,-12367.051288521181,398.63885768252885,14.899792431727503,1708.0,0.29515630871659226,-0.5477780561047965
79,(주)녹십자,6280,2019,100.18045305199247,160.02201628479972,18.912259510164787,-371.0,6.199970464408921,2.769680206669607
80,(주)녹십자,6280,2020,138.83005117612694,83.60255222582863,16.263568710184696,465.0,6.577004698318177,1.2711108945439793
81,(주)녹십자,6280,2021,96.29567509781396,221.63594173317227,32.57472849108919,1560.0,0.9469544708944113,0.6387807563098329
82,(주)녹십자,6280,2022,642.0776544734618,75.09649075254094,21.787074140284794,1693.0,-1.3049098674090516,-3.4968538136057683
83,(주)녹십자홀딩스,5250,2007,121.75040469176078,266.5825238711753,97.15246473718015,2645.0,36.44219617130946,20.634341059376005
84,(주)녹십자홀딩스,5250,2008,102.4349407684107,127.25112608290783,106.59745149826897,3106.0,-7.760546649764407,44.22022954007497
85,(주)녹십자홀딩스,5250,2009,80.28191233115268,75.73339621776555,79.6150111100124,2466.0,-8.532550235395192,35.313355751175266
86,(주)녹십자홀딩스,5250,2010,382.2567714051224,492.0664619784598,305.6575839213405,4089.0,9.438836711681908,-1.416469993647766
87,(주)녹십자홀딩스,5250,2011,61.66772060950889,60.28387906634497,38.255293545662525,595.0,-5.795979423074016,-1.0594808834169376
88,(주)녹십자홀딩스,5250,2012,-2962.638218626878,1593.7791428415615,76.11013191375768,2183.0,3.769027709419447,-1.934352556336723
89,(주)녹십자홀딩스,5250,2013,-4128.271216253663,73.51331006775621,9.740935365920107,543.0,-2.7833913804886805,0.9522090102539007
